"","sample","maxn","latitude","longitude","depth","ZoneName"
"272","826",25,-33.5426833,115.4005833,12.8,"National Park Zone"
"274","83",0,-33.46935,115.37905,24.6,"Special Purpose Zone (Mining Exclusion)"
"276","839",0,-33.4873,115.4085,20,"Multiple Use Zone"
"277","84",12,-33.3964667,115.1924,41,"Special Purpose Zone (Mining Exclusion)"
"279","843",12,-33.5999833,115.2586,14.6,"Multiple Use Zone"
"280","848",2,-33.35185,115.5323,10.4,"Special Purpose Zone (Mining Exclusion)"
"281","855",4,-33.4901,115.4357667,15.2,"Multiple Use Zone"
"282","858",53,-33.5573167,115.3461833,16.6,"Multiple Use Zone"
"283","86",0,-33.5405167,115.1785167,28.6,"Multiple Use Zone"
"285","87",2,-33.4896,115.4589333,13,"Multiple Use Zone"
"287","88",0,-33.5010667,115.2145333,31.4,"Multiple Use Zone"
"289","89",0,-33.3828167,115.0563833,43.9,"Special Purpose Zone (Mining Exclusion)"
"290","9",11,-33.3643333,115.1361167,41.8,"Special Purpose Zone (Mining Exclusion)"
"291","90",14,-33.5333167,115.3224833,22,"Multiple Use Zone"
"292","91",0,-33.5396,115.2060833,29.8,"Habitat Protection Zone"
"293","92",0,-33.4175833,115.3149833,33,"Special Purpose Zone (Mining Exclusion)"
"294","93",0,-33.4813167,115.15275,36,"Special Purpose Zone (Mining Exclusion)"
"295","95",17,-33.5175,115.3155333,24.9,"Multiple Use Zone"
"296","96",0,-33.4489,115.4808167,15.9,"Special Purpose Zone (Mining Exclusion)"
"297","97",20,-33.38465,115.2926667,35.6,"Special Purpose Zone (Mining Exclusion)"
"298","98",7,-33.434,115.1726667,38,"Special Purpose Zone (Mining Exclusion)"
"299","99",4,-33.3953,115.3990167,15.4,"Special Purpose Zone (Mining Exclusion)"
"300","GBR-BOB",31,-33.59235,115.2205667,16.7,"Habitat Protection Zone"
"302","GBR1-2",18,-33.5936,115.1995333,16,"Multiple Use Zone"
"303","GBR1-3",21,-33.5937833,115.2022833,15.8,"Habitat Protection Zone"
"304","GBR1-4",14,-33.59345,115.2055167,16.8,"Habitat Protection Zone"
"313","GBR4-1",6,-33.5933333,115.2080833,16.1,"Habitat Protection Zone"
"314","GBR4-2",7,-33.5928333,115.2102333,16.3,"Habitat Protection Zone"
"315","GBR5-1",25,-33.5932167,115.2119333,16.2,"Habitat Protection Zone"
"316","GBR5-2",29,-33.5927333,115.2148,16.6,"Habitat Protection Zone"
"317","GBR5-3",17,-33.5924167,115.2175167,16.4,"Habitat Protection Zone"
"318","RB1",0,-33.53455,115.2176667,28,"Multiple Use Zone"
"319","RB2",0,-33.5085667,115.2254833,30,"Multiple Use Zone"
"320","RC1",16,-33.4628,115.23995,34.2,"Special Purpose Zone (Mining Exclusion)"
"321","RC2",9,-33.48635,115.1780333,34.3,"Multiple Use Zone"
"322","RC3",5,-33.4704833,115.1684167,35,"Special Purpose Zone (Mining Exclusion)"
